Routine,Sum,Mean,Variance,StdDev
MPI_Init,8.0,1.00000,0.00000e+00,0.00000
MPI_Comm_rank,8.0,1.00000,0.00000e+00,0.00000
MPI_Comm_size,8.0,1.00000,0.00000e+00,0.00000
MPI_Bcast,72.0,9.00000,0.00000e+00,0.00000
MPI_Finalize,8.0,1.00000,0.00000e+00,0.00000
MPI_Send,874807.0,109351.00000,1.95300e+09,44192.75959
MPI_Recv,291607.0,36450.90000,2.17007e+08,14731.15746
MPI_Probe,291607.0,36450.90000,2.17007e+08,14731.15746
render_blocks,291600.0,36450.00000,2.16996e+08,14730.78409
