Routine,Sum,Mean,Variance,StdDev
MPI_Init,8.0,1.00000,0.00000e+00,0.00000
MPI_Comm_rank,8.0,1.00000,0.00000e+00,0.00000
MPI_Comm_size,8.0,1.00000,0.00000e+00,0.00000
MPI_Bcast,72.0,9.00000,0.00000e+00,0.00000
MPI_Finalize,8.0,1.00000,0.00000e+00,0.00000
MPI_Send,250.0,31.25000,3.18500e+02,17.84657
MPI_Probe,88.0,11.00000,3.74286e+01,6.11789
MPI_Recv,250.0,31.25000,3.18500e+02,17.84657
render_block,81.0,10.12500,3.44107e+01,5.86606
