Routine,Sum,Mean,Variance,StdDev
MPI_Init,8.0,1.00000,0.00000e+00,0.00000
MPI_Comm_rank,8.0,1.00000,0.00000e+00,0.00000
MPI_Comm_size,8.0,1.00000,0.00000e+00,0.00000
MPI_Bcast,72.0,9.00000,0.00000e+00,0.00000
MPI_Finalize,8.0,1.00000,0.00000e+00,0.00000
MPI_Send,13879.0,1734.88000,5.11631e+05,715.28386
MPI_Probe,4631.0,578.87500,5.69581e+04,238.65896
MPI_Recv,13879.0,1734.88000,5.11631e+05,715.28386
render_block,4624.0,578.00000,5.67929e+04,238.31261
